field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
sp_dt_1,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h4><span style=""text-decoration: underline;"">Scheduling Visits</span></h4></div>",,,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_data_site,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Site where data collection will be performed:</p></div>","1, U of Michigan | 2, Wayne State | 3, Spectrum Health",,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",y,,,,,"20211105 Added this field AHACKMAN"
sp_surg_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Confirm Surgery Date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",y,,,,,
sp_v1_preop_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V1 (Pre-Op) date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_v1_preop_dss,postconsent_study_plan_crf_v06,,calc,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Pre-op visit: days since surgery</p></div>","datediff([sp_v1_preop_date],[sp_surg_date],'d')",,,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,@HIDDEN
sp_dt_preop_datetime,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; border-style: none;"" border=""0""> <tbody> <tr> <td style=""width: 42%; text-align: right;"" colspan=""3"">V1 (Pre-Op) time:</td> <td style=""width: 3%; text-align: left;""> </td> <td style=""width: 20%; text-align: left;"">{sp_v1_preop_time}</td> <td style=""width: 10%;"">{sp_v1_preop_time_ampm}</td> </tr> </tbody> </table></div>",,,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_v1_preop_time,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V1 (Pre-Op) time:</p></div>",,HH:MM,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,@PLACEHOLDER='HH:MM'
sp_v1_preop_time_ampm,postconsent_study_plan_crf_v06,,dropdown,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V1 (Pre-Op) time AM/PM:</p></div>","AM, AM | PM, PM",,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_v2_6wk_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V2 (~6 week Follow-up) date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,"@CALCDATE([sp_surg_date], 42, 'd')"
sp_v3_3mo_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V3 (~3 month Follow-up) date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,"@CALCDATE([sp_surg_date], 3, 'M')"
