field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
taps2rxopiateconcernyn,taps2,,radio,"6.b. In the PAST 3 MONTHS, has anyone expressed concern about your use of an opiate pain reliever?","0, No | 1, Yes",,,,,,"[taps2rxopiateyn] = '1'",,,,,,
taps2anxietyslpmedyn,taps2,,radio,"7. In the PAST 3 MONTHS, did you use a medication for anxiety or sleep (for example, Xanax, Ativan, or Klonopin) not as prescribed or that was not prescribed for you?  ","0, No | 1, Yes",,,,,,,,,,,,
taps2_dt7,taps2,,descriptive,"If 'Yes', answer the following questions: ",,,,,,,"[taps2anxietyslpmedyn] = '1'",,,,,,
taps2anxietyslpweeklyyn,taps2,,radio,"7.a. In the PAST 3 MONTHS, have you had a strong desire or urge to use medications for anxiety or sleep at least once a week or more often? ","0, No | 1, Yes",,,,,,"[taps2anxietyslpmedyn] = '1'",,,,,,
taps2anxietyslpconcyn,taps2,,radio,"7.b. In the PAST 3 MONTHS, has anyone expressed concern about your use of medication for anxiety or sleep? ","0, No | 1, Yes",,,,,,"[taps2anxietyslpmedyn] = '1'",,,,,,
taps2adhdmedyn,taps2,,radio,"8. In the PAST 3 MONTHS, did you use a medication for ADHD (for example, Adderall, Ritalin) not as prescribed or that was not prescribed for you? ","0, No | 1, Yes",,,,,,,,,,,,
taps2_dt8,taps2,,descriptive,"If 'Yes', answer the following questions: ",,,,,,,"[taps2adhdmedyn] = '1'",,,,,,
taps2adhdmedweeklyyn,taps2,,radio,"8.a. In the PAST 3 MONTHS, did you use a medication for ADHD (for example, Adderall, Ritalin) at least once a week or more often? ","0, No | 1, Yes",,,,,,"[taps2adhdmedyn] = '1'",,,,,,
taps2adhdmedconcernyn,taps2,,radio,"8.b. In the PAST 3 MONTHS, has anyone expressed concern about your use of a medication for ADHD (for example, Adderall or Ritalin)? ","0, No | 1, Yes",,,,,,"[taps2adhdmedyn] = '1'",,,,,,
taps2otherdrugsyn,taps2,,radio,"9. In the PAST 3 MONTHS, did you use any other illegal or recreational drug (for example, ecstasy/molly, GHB, poppers, LSD, mushrooms, special K, bath salts, synthetic marijuana ('spice'), whip-its, etc.)? ","0, No | 1, Yes",,,,,,,,,,,,
taps2_dt9,taps2,,descriptive,"If 'Yes', answer the following questions: ",,,,,,,"[taps2otherdrugsyn] = '1'",,,,,,
taps2otherdrugstxt,taps2,,text,"9.a. In the PAST 3 MONTHS, what were the other drug(s) you used?",,,,,,,"[taps2otherdrugsyn] = '1'",,,,,,
tap2tobaccoscore,taps2,,calc,"Tobacco score","sum([taps2tobaccoyn],[taps2tobaccogr10yn],[taps2tobaccowakingyn])",,,,,,,,,,,,@HIDDEN-SURVEY
tap2alcoholscore,taps2,,calc,"Alcohol score","sum([taps2alcoholyn],[taps2alcoholfem4yn],[taps2alcoholmale5yn], [taps2alcoholfailyn],[taps2alcoholconcernyn])",,,,,,,,,,,,@HIDDEN-SURVEY
tap2cannabisscore,taps2,,calc,"Cannabis score","sum([taps2mjuseyn], [taps2mjweeklyyn], [taps2mjconcernyn])",,,,,,,,,,,,@HIDDEN-SURVEY
tap2stimulantscore,taps2,,calc,"Stimulant score","sum([taps2stimulantyn], [taps2stimulantweeklyyn], [taps2stimulntconcernyn])",,,,,,,,,,,,@HIDDEN-SURVEY
tap2heroinscore,taps2,,calc,"Heroin score","sum([taps2heroinyn], [taps2heroinfailyn], [taps2heroinconcernyn])",,,,,,,,,,,,@HIDDEN-SURVEY
tap2opioidscore,taps2,,calc,"Opioid score","sum([taps2rxopiateyn], [taps2rxopiatefailyn], [taps2rxopiateconcernyn])",,,,,,,,,,,,@HIDDEN-SURVEY
tap2sedativescore,taps2,,calc,"Sedative score","sum([taps2anxietyslpmedyn], [taps2anxietyslpweeklyyn], [taps2anxietyslpconcyn])",,,,,,,,,,,,@HIDDEN-SURVEY
tap2rxstimscore,taps2,,calc,"Prescription stimulant score","sum([taps2adhdmedyn], [taps2adhdmedweeklyyn], [taps2adhdmedconcernyn])",,,,,,,,,,,,@HIDDEN-SURVEY
opioidusebslnopds,opioid_use_baseline_v10_opioid_use_i,,radio,"1. Are you currently taking opioids daily or most days? 
Examples of opioid medications include hydrocodone (Norco, Vicodin), oxycodone (Percocet), tapentadol (Nucynta), morphine, tramadol, codeine.","0, No | 1, Yes",,,,,,,,RH,,,,
opioidusebslnexprncopd,opioid_use_baseline_v10_opioid_use_i,,radio,"2.Have you ever taken an opioid continuously? 
(daily or most days for 3 months or more)","1, Never taken an opioid before | 2, I have used an opioid in the past but never continuously | 3, 3 months-1 year | 4, >1year",,,,,,"[opioidusebslnopds] = '0'",,,,,,
opioidusebslnlsttmopd,opioid_use_baseline_v10_opioid_use_i,,radio,"3. When is the last time you took an opioid?","1, Within the last 3 months | 2, 3 months-1 year | 3, >1year",,,,,,"[opioidusebslnexprncopd] = '2' or [opioidusebslnexprncopd] = '3' or [opioidusebslnexprncopd] = '4'",,,,,,
opioidusebsln_dt_1,opioid_use_baseline_v10_opioid_use_i,,descriptive,"Medication #1",,,,,,,"[opioidusebslnopds] = '1'",,,,,,
opioidusebslndrug1nm,opioid_use_baseline_v10_opioid_use_i,,radio,"4. What is the name of the opioid medication?","1, Hydrocodone (Vicodin, Norco) | 2, Oxycodone (Percocet, Oxycontin) | 3, Codeine (Tylenol 3, Tylenol 4) | 4, Tramadol (Ultram, Ultracet) | 5, Hydromorphone (Dilaudid) | 6, Morphine (MS Contin, MS IR) | 7, Tapentadol (Nucynta) | 8, Methadone | 9, Fentanyl (Duragesic) | 10, Other",,,,,,"[opioidusebslnopds] = '1'",,,,,,
opioidusebsln_meddosehydroc1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Hydrocodone (Vicodin, Norco)?
","1, Tablets with acetaminophen - 5mg / 325mg | 2, Tablets with acetaminophen - 7.5mg / 325mg | 3, Tablets with acetaminophen - 10mg / 325mg | 4, Liquid - 7.5mg/500mg per 15ml",,,,,,"[opioidusebslndrug1nm] = '1'",,,,,,
opioidusebsln_meddoseoxy1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Oxycodone (Percocet, Oxycontin)?
","1, Tablets with acetaminophen | 2, - 2.5mg / 325mg | 3, - 5mg / 325mg | 4, - 7.5mg / 325mg | 5, - 10mg / 325mg | 6, ------------------------ | 7, Tablets immediate release | 8, - 5mg | 9, - 7.5mg | 10, - 10mg | 11, - 15mg | 12, - 20mg | 13, - 30mg | 14, ------------------------ | 15, Tablets extended release | 16, - 10mg | 17, - 15mg | 18, - 20mg | 19, - 30mg | 20, - 40mg | 21, - 60mg | 22, - 80mg | 23, ------------------------- | 24, Liquid - 5mg / 5ml",,,,,,"[opioidusebslndrug1nm] = '2'",,,,,,
opioidusebsln_meddosecodeine1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Codeine (Tylenol 3, Tylenol 4)?
","1, Tablets with acetaminophen - 15mg / 300mg | 2, Tablets with acetaminophen - 30mg / 300mg | 3, Tablets with acetaminophen - 60mg / 300mg | 4, Liquid - 12mg / 120mg per 5ml | 5, Tylenol 3 | 6, Tylenol 4",,,,,,"[opioidusebslndrug1nm] = '3'",,,,,,
opioidusebsln_meddosetram1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Tramadol (Ultram, Ultracet)?
","1, 50mg | 2, 100mg | 3, 150mg | 4, 200mg | 5, 300mg",,,,,,"[opioidusebslndrug1nm] = '4'",,,,,,
opioidusebsln_meddosehydrom1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Hydromorphone (Dilaudid)?
","1, Tablets immediate release - 2mg | 2, Tablets immediate release - 4mg | 3, Tablets immediate release - 8mg | 4, Tablets immediate release - 12mg | 5, Tablets immediate release - 16mg | 6, Tablets immediate release - 32mg | 7, Liquid - 5mg / 5ml",,,,,,"[opioidusebslndrug1nm] = '5'",,,,,,
opioidusebsln_meddosemorph1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Morphine (MS Contin, MS IR)?
","1, Tablets immediate release | 2, - 15mg | 3, - 30mg | 4, ------------------------------------- | 5, Tablets extended release | 6, - 15mg | 7, - 30mg | 8, - 60mg | 9, - 100mg | 10, - 200mg | 11, ------------------------------- | 12, Liquid - 10mg / 5ml",,,,,,"[opioidusebslndrug1nm] = '6'",,,,,,
opioidusebsln_meddosetapen1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Tapentadol (Nucynta)?
","1, Tablets immediate release | 2, - 50mg | 3, - 75mg | 4, - 100mg | 5, -------------------------------------- | 6, Tablets extended release | 7, - 50mg | 8, - 100mg | 9, - 150mg | 10, - 200mg | 11, - 250mg",,,,,,"[opioidusebslndrug1nm] = '7'",,,,,,
opioidusebsln_meddosemetha1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Methadone?
","1, Tablets - 5mg | 2, Tablets - 10mg | 3, Liquid - 10mg/ml",,,,,,"[opioidusebslndrug1nm] = '8'",,,,,,
opioidusebsln_meddosefenta1,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5. What is the dose of your Fentanyl (Duragesic)?
","1, Patch - 12mcg | 2, Patch - 25mcg | 3, Patch - 50mcg | 4, Patch - 75mcg | 5, Patch - 100mcg",,,,,,"[opioidusebslndrug1nm] = '9'",,,,,,
opioidusebslndrug1quanta,opioid_use_baseline_v10_opioid_use_i,,text,"6. Over the past week, how many pills did you take per day on average?",,,integer,,,,"[opioidusebsln_meddosehydroc1] = '1' or [opioidusebsln_meddosehydroc1] = '2' or [opioidusebsln_meddosehydroc1] = '3' or [opioidusebsln_meddoseoxy1] = '2' or [opioidusebsln_meddoseoxy1] = '3' or [opioidusebsln_meddoseoxy1] = '4' or [opioidusebsln_meddoseoxy1] = '5' or [opioidusebsln_meddoseoxy1] = '8' or [opioidusebsln_meddoseoxy1] = '9' or [opioidusebsln_meddoseoxy1] = '10' or [opioidusebsln_meddoseoxy1] = '11' or [opioidusebsln_meddoseoxy1] = '12' or [opioidusebsln_meddoseoxy1] = '13' or [opioidusebsln_meddoseoxy1] = '16' or [opioidusebsln_meddoseoxy1] = '17' or [opioidusebsln_meddoseoxy1] = '18' or [opioidusebsln_meddoseoxy1] = '19' or [opioidusebsln_meddoseoxy1] = '20' or [opioidusebsln_meddoseoxy1] = '21' or [opioidusebsln_meddoseoxy1] = '22' or [opioidusebsln_meddosecodeine1] = '1' or [opioidusebsln_meddosecodeine1] = '2' or [opioidusebsln_meddosecodeine1] = '3' or [opioidusebsln_meddosecodeine1] = '5' or [opioidusebsln_meddosecodeine1] = '6' or [opioidusebsln_meddosetram1] <> """" or [opioidusebsln_meddosehydrom1] = '1' or [opioidusebsln_meddosehydrom1] = '2' or [opioidusebsln_meddosehydrom1] = '3' or [opioidusebsln_meddosehydrom1] = '4' or [opioidusebsln_meddosehydrom1] = '5' or [opioidusebsln_meddosehydrom1] = '6' or [opioidusebsln_meddosemorph1] = '2' or [opioidusebsln_meddosemorph1] = '3' or [opioidusebsln_meddosemorph1] = '6' or [opioidusebsln_meddosemorph1] = '7' or [opioidusebsln_meddosemorph1] = '8' or [opioidusebsln_meddosemorph1] = '9' or [opioidusebsln_meddosemorph1] = '10' or [opioidusebsln_meddosetapen1] = '2' or [opioidusebsln_meddosetapen1] = '3' or [opioidusebsln_meddosetapen1] = '4' or [opioidusebsln_meddosetapen1] = '7' or [opioidusebsln_meddosetapen1] = '8' or [opioidusebsln_meddosetapen1] = '9' or [opioidusebsln_meddosetapen1] = '10' or [opioidusebsln_meddosetapen1] = '11' or [opioidusebsln_meddosemetha1] = '1' or [opioidusebsln_meddosemetha1] = '2'",,,,,,
opioidusebslndrug1quantb,opioid_use_baseline_v10_opioid_use_i,,text,"6. Over the past week, how many teaspoons (1 teaspoon = 5 mL) did you take per day on average?",,,integer,,,,"[opioidusebsln_meddosehydroc1] = '4' or [opioidusebsln_meddoseoxy1] = '24' or [opioidusebsln_meddosecodeine1] = '4' or [opioidusebsln_meddosehydrom1] = '7' or [opioidusebsln_meddosemorph1] = '12' or [opioidusebsln_meddosemetha1] = '3'",,,,,,
opioidusebslndrug1quantc,opioid_use_baseline_v10_opioid_use_i,,text,"6. Over the past week, how many patches did you apply?",,,integer,,,,"[opioidusebsln_meddosefenta1] = '1' or [opioidusebsln_meddosefenta1] = '2' or [opioidusebsln_meddosefenta1] = '3' or [opioidusebsln_meddosefenta1] = '4' or [opioidusebsln_meddosefenta1] = '5'",,,,,,
opioidusebslnotherdrug1nm,opioid_use_baseline_v10_opioid_use_i,,text,"4.1.a The name of other opioid medication",,,,,,,"[opioidusebslndrug1nm] = '10'",,,,,,
opioidusebslndose_oth1,opioid_use_baseline_v10_opioid_use_i,,text,"4.1.b The dose of other opioid medication",,,,,,,"[opioidusebslndrug1nm] = '10'",,,,,,
opioidusebslnd1other,opioid_use_baseline_v10_opioid_use_i,,radio,"7. Are you currently taking other opioid pain medications?","1, Yes | 0, No",,,,,,"[opioidusebslndrug1nm] <> """"",,RH,,,,
opioidusebsln_dt_2,opioid_use_baseline_v10_opioid_use_i,,descriptive,"Medication #2",,,,,,,"[opioidusebslnd1other] = '1'",,,,,,
opioidusebslndrug2nm,opioid_use_baseline_v10_opioid_use_i,,radio,"4.2 What is the name of the opioid medication?","1, Hydrocodone (Vicodin, Norco) | 2, Oxycodone (Percocet, Oxycontin) | 3, Codeine (Tylenol 3, Tylenol 4) | 4, Tramadol (Ultram, Ultracet) | 5, Hydromorphone (Dilaudid) | 6, Morphine (MS Contin, MS IR) | 7, Tapentadol (Nucynta) | 8, Methadone | 9, Fentanyl (Duragesic) | 10, Other",,,,,,"[opioidusebslnd1other] = '1'",,,,,,
opioidusebsln_meddosehydroc2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Hydrocodone (Vicodin, Norco)?
","1, Tablets with acetaminophen - 5mg / 325mg | 2, Tablets with acetaminophen - 7.5mg / 325mg | 3, Tablets with acetaminophen - 10mg / 325mg | 4, Liquid - 7.5mg/500mg per 15ml",,,,,,"[opioidusebslndrug2nm] = '1'",,,,,,
opioidusebsln_meddoseoxy2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Oxycodone (Percocet, Oxycontin)?
","1, Tablets with acetaminophen | 2, - 2.5mg / 325mg | 3, - 5mg / 325mg | 4, - 7.5mg / 325mg | 5, - 10mg / 325mg | 6, ------------------------ | 7, Tablets immediate release | 8, - 5mg | 9, - 7.5mg | 10, - 10mg | 11, - 15mg | 12, - 20mg | 13, - 30mg | 14, ------------------------ | 15, Tablets extended release | 16, - 10mg | 17, - 15mg | 18, - 20mg | 19, - 30mg | 20, - 40mg | 21, - 60mg | 22, - 80mg | 23, ------------------------- | 24, Liquid - 5mg / 5ml",,,,,,"[opioidusebslndrug2nm] = '2'",,,,,,
opioidusebsln_meddosecodeine2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Codeine (Tylenol 3, Tylenol 4)?
","1, Tablets with acetaminophen - 15mg / 300mg | 2, Tablets with acetaminophen - 30mg / 300mg | 3, Tablets with acetaminophen - 60mg / 300mg | 4, Liquid - 12mg / 120mg per 5ml | 5, Tylenol 3 | 6, Tylenol 4",,,,,,"[opioidusebslndrug2nm] = '3'",,,,,,
opioidusebsln_meddosetram2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Tramadol (Ultram, Ultracet)?
","1, 50mg | 2, 100mg | 3, 150mg | 4, 200mg | 5, 300mg",,,,,,"[opioidusebslndrug2nm] = '4'",,,,,,
opioidusebsln_meddosehydrom2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Hydromorphone (Dilaudid)?
","1, Tablets immediate release - 2mg | 2, Tablets immediate release - 4mg | 3, Tablets immediate release - 8mg | 4, Tablets immediate release - 12mg | 5, Tablets immediate release - 16mg | 6, Tablets immediate release - 32mg | 7, Liquid - 5mg / 5ml",,,,,,"[opioidusebslndrug2nm] = '5'",,,,,,
opioidusebsln_meddosemorph2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Morphine (MS Contin, MS IR)?
","1, Tablets immediate release | 2, - 15mg | 3, - 30mg | 4, ------------------------------------- | 5, Tablets extended release | 6, - 15mg | 7, - 30mg | 8, - 60mg | 9, - 100mg | 10, - 200mg | 11, ------------------------------- | 12, Liquid - 10mg / 5ml",,,,,,"[opioidusebslndrug2nm] = '6'",,,,,,
opioidusebsln_meddosetapen2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Tapentadol (Nucynta)?
","1, Tablets immediate release | 2, - 50mg | 3, - 75mg | 4, - 100mg | 5, -------------------------------------- | 6, Tablets extended release | 7, - 50mg | 8, - 100mg | 9, - 150mg | 10, - 200mg | 11, - 250mg",,,,,,"[opioidusebslndrug2nm] = '7'",,,,,,
opioidusebsln_meddosemetha2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Methadone?
","1, Tablets - 5mg | 2, Tablets - 10mg | 3, Liquid - 10mg/ml",,,,,,"[opioidusebslndrug2nm] = '8'",,,,,,
opioidusebsln_meddosefenta2,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.2 What is the dose of your Fentanyl (Duragesic)?
","1, Patch - 12mcg | 2, Patch - 25mcg | 3, Patch - 50mcg | 4, Patch - 75mcg | 5, Patch - 100mcg",,,,,,"[opioidusebslndrug2nm] = '9'",,,,,,
opioidusebslndrug2quanta,opioid_use_baseline_v10_opioid_use_i,,text,"6.2 Over the past week, how many pills did you take per day on average?",,,integer,,,,"[opioidusebsln_meddosehydroc2] = '1' or [opioidusebsln_meddosehydroc2] = '2' or [opioidusebsln_meddosehydroc2] = '3' or [opioidusebsln_meddoseoxy2] = '2' or [opioidusebsln_meddoseoxy2] = '3' or [opioidusebsln_meddoseoxy2] = '4' or [opioidusebsln_meddoseoxy2] = '5' or [opioidusebsln_meddoseoxy2] = '8' or [opioidusebsln_meddoseoxy2] = '9' or [opioidusebsln_meddoseoxy2] = '10' or [opioidusebsln_meddoseoxy2] = '11' or [opioidusebsln_meddoseoxy2] = '12' or [opioidusebsln_meddoseoxy2] = '13' or [opioidusebsln_meddoseoxy2] = '16' or [opioidusebsln_meddoseoxy2] = '17' or [opioidusebsln_meddoseoxy2] = '18' or [opioidusebsln_meddoseoxy2] = '19' or [opioidusebsln_meddoseoxy2] = '20' or [opioidusebsln_meddoseoxy2] = '21' or [opioidusebsln_meddoseoxy2] = '22' or [opioidusebsln_meddosecodeine2] = '1' or [opioidusebsln_meddosecodeine2] = '2' or [opioidusebsln_meddosecodeine2] = '3' or [opioidusebsln_meddosecodeine2] = '5' or [opioidusebsln_meddosecodeine2] = '6' or [opioidusebsln_meddosetram2] <> """" or [opioidusebsln_meddosehydrom2] = '1' or [opioidusebsln_meddosehydrom2] = '2' or [opioidusebsln_meddosehydrom2] = '3' or [opioidusebsln_meddosehydrom2] = '4' or [opioidusebsln_meddosehydrom2] = '5' or [opioidusebsln_meddosehydrom2] = '6' or [opioidusebsln_meddosemorph2] = '2' or [opioidusebsln_meddosemorph2] = '3' or [opioidusebsln_meddosemorph2] = '6' or [opioidusebsln_meddosemorph2] = '7' or [opioidusebsln_meddosemorph2] = '8' or [opioidusebsln_meddosemorph2] = '9' or [opioidusebsln_meddosemorph2] = '10' or [opioidusebsln_meddosetapen2] = '2' or [opioidusebsln_meddosetapen2] = '3' or [opioidusebsln_meddosetapen2] = '4' or [opioidusebsln_meddosetapen2] = '7' or [opioidusebsln_meddosetapen2] = '8' or [opioidusebsln_meddosetapen2] = '9' or [opioidusebsln_meddosetapen2] = '10' or [opioidusebsln_meddosetapen2] = '11' or [opioidusebsln_meddosemetha2] = '1' or [opioidusebsln_meddosemetha2] = '2'",,,,,,
opioidusebslndrug2quantb,opioid_use_baseline_v10_opioid_use_i,,text,"6.2 Over the past week, how many teaspoons (1 teaspoon = 5 mL) did you take per day on average?",,,integer,,,,"[opioidusebsln_meddosehydroc2] = '4' or [opioidusebsln_meddoseoxy2] = '24' or [opioidusebsln_meddosecodeine2] = '4' or [opioidusebsln_meddosehydrom2] = '7' or [opioidusebsln_meddosemorph2] = '12' or [opioidusebsln_meddosemetha2] = '3'",,,,,,
opioidusebslndrug2quantc,opioid_use_baseline_v10_opioid_use_i,,text,"6.2 Over the past week, how many patches did you apply?",,,integer,,,,"[opioidusebsln_meddosefenta2] = '1' or [opioidusebsln_meddosefenta2] = '2' or [opioidusebsln_meddosefenta2] = '3' or [opioidusebsln_meddosefenta2] = '4' or [opioidusebsln_meddosefenta2] = '5'",,,,,,
opioidusebslnotherdrug2nm,opioid_use_baseline_v10_opioid_use_i,,text,"4.2.a The name of other opioid medication",,,,,,,"[opioidusebslndrug2nm] = '10'",,,,,,
opioidusebslndose_oth2,opioid_use_baseline_v10_opioid_use_i,,text,"4.2.b The dose of other opioid medication",,,,,,,"[opioidusebslndrug2nm] = '10'",,,,,,
opioidusebslnd2other,opioid_use_baseline_v10_opioid_use_i,,radio,"7.2 Are you currently taking other opioid pain medications?","1, Yes | 0, No",,,,,,"[opioidusebslndrug2nm] <> """"",,RH,,,,
opioidusebsln_dt_3,opioid_use_baseline_v10_opioid_use_i,,descriptive,"Medication #3",,,,,,,"[opioidusebslnd2other] = '1'",,,,,,
opioidusebslndrug3nm,opioid_use_baseline_v10_opioid_use_i,,radio,"4.3 What is the name of the opioid medication?","1, Hydrocodone (Vicodin, Norco) | 2, Oxycodone (Percocet, Oxycontin) | 3, Codeine (Tylenol 3, Tylenol 4) | 4, Tramadol (Ultram, Ultracet) | 5, Hydromorphone (Dilaudid) | 6, Morphine (MS Contin, MS IR) | 7, Tapentadol (Nucynta) | 8, Methadone | 9, Fentanyl (Duragesic) | 10, Other",,,,,,"[opioidusebslnd2other] = '1'",,,,,,
opioidusebsln_meddosehydroc3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Hydrocodone (Vicodin, Norco)?
","1, Tablets with acetaminophen - 5mg / 325mg | 2, Tablets with acetaminophen - 7.5mg / 325mg | 3, Tablets with acetaminophen - 10mg / 325mg | 4, Liquid - 7.5mg/500mg per 15ml",,,,,,"[opioidusebslndrug3nm] = '1'",,,,,,
opioidusebsln_meddoseoxy3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Oxycodone (Percocet, Oxycontin)?
","1, Tablets with acetaminophen | 2, - 2.5mg / 325mg | 3, - 5mg / 325mg | 4, - 7.5mg / 325mg | 5, - 10mg / 325mg | 6, ------------------------ | 7, Tablets immediate release | 8, - 5mg | 9, - 7.5mg | 10, - 10mg | 11, - 15mg | 12, - 20mg | 13, - 30mg | 14, ------------------------ | 15, Tablets extended release | 16, - 10mg | 17, - 15mg | 18, - 20mg | 19, - 30mg | 20, - 40mg | 21, - 60mg | 22, - 80mg | 23, ------------------------- | 24, Liquid - 5mg / 5ml",,,,,,"[opioidusebslndrug3nm] = '2'",,,,,,
opioidusebsln_meddosecodeine3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Codeine (Tylenol 3, Tylenol 4)?
","1, Tablets with acetaminophen - 15mg / 300mg | 2, Tablets with acetaminophen - 30mg / 300mg | 3, Tablets with acetaminophen - 60mg / 300mg | 4, Liquid - 12mg / 120mg per 5ml | 5, Tylenol 3 | 6, Tylenol 4",,,,,,"[opioidusebslndrug3nm] = '3'",,,,,,
opioidusebsln_meddosetram3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Tramadol (Ultram, Ultracet)?
","1, 50mg | 2, 100mg | 3, 150mg | 4, 200mg | 5, 300mg",,,,,,"[opioidusebslndrug3nm] = '4'",,,,,,
opioidusebsln_meddosehydrom3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Hydromorphone (Dilaudid)?
","1, Tablets immediate release - 2mg | 2, Tablets immediate release - 4mg | 3, Tablets immediate release - 8mg | 4, Tablets immediate release - 12mg | 5, Tablets immediate release - 16mg | 6, Tablets immediate release - 32mg | 7, Liquid - 5mg / 5ml",,,,,,"[opioidusebslndrug3nm] = '5'",,,,,,
opioidusebsln_meddosemorph3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Morphine (MS Contin, MS IR)?
","1, Tablets immediate release | 2, - 15mg | 3, - 30mg | 4, ------------------------------------- | 5, Tablets extended release | 6, - 15mg | 7, - 30mg | 8, - 60mg | 9, - 100mg | 10, - 200mg | 11, ------------------------------- | 12, Liquid - 10mg / 5ml",,,,,,"[opioidusebslndrug3nm] = '6'",,,,,,
opioidusebsln_meddosetapen3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Tapentadol (Nucynta)?
","1, Tablets immediate release | 2, - 50mg | 3, - 75mg | 4, - 100mg | 5, -------------------------------------- | 6, Tablets extended release | 7, - 50mg | 8, - 100mg | 9, - 150mg | 10, - 200mg | 11, - 250mg",,,,,,"[opioidusebslndrug3nm] = '7'",,,,,,
opioidusebsln_meddosemetha3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Methadone?
","1, Tablets - 5mg | 2, Tablets - 10mg | 3, Liquid - 10mg/ml",,,,,,"[opioidusebslndrug3nm] = '8'",,,,,,
opioidusebsln_meddosefenta3,opioid_use_baseline_v10_opioid_use_i,,dropdown,"5.3 What is the dose of your Fentanyl (Duragesic)?
","1, Patch - 12mcg | 2, Patch - 25mcg | 3, Patch - 50mcg | 4, Patch - 75mcg | 5, Patch - 100mcg",,,,,,"[opioidusebslndrug3nm] = '9'",,,,,,
